date,ref_1,ref_1_count,ref_1_uniques,ref_2,ref_2_count,ref_2_uniques,ref_3,ref_3_count,ref_3_uniques,ref_4,ref_4_count,ref_4_uniques,ref_5,ref_5_count,ref_5_uniques,ref_6,ref_6_count,ref_6_uniques,ref_7,ref_7_count,ref_7_uniques,ref_8,ref_8_count,ref_8_uniques,ref_9,ref_9_count,ref_9_uniques,ref_10,ref_10_count,ref_10_uniques
2026-05-21,github.com,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-22,github.com,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-23,github.com,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-24,github.com,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-25,github.com,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-26,github.com,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-27,github.com,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-28,github.com,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-29,github.com,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-30,github.com,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-31,github.com,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-01,github.com,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-03,github.com,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-04,github.com,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-04,github.com,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-05,github.com,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-06,github.com,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-07,github.com,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-08,github.com,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-09,github.com,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-10,github.com,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-12,github.com,6,4,spb99-prk-ap1.gazprom-neft.local,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-13,github.com,6,4,spb99-prk-ap1.gazprom-neft.local,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-13,github.com,5,3,spb99-prk-ap1.gazprom-neft.local,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-14,github.com,5,3,spb99-prk-ap1.gazprom-neft.local,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,github.com,6,3,spb99-prk-ap1.gazprom-neft.local,2,1,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-16,github.com,6,3,spb99-prk-ap1.gazprom-neft.local,2,1,asm.asiainfo-sec.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-06-17,github.com,6,3,spb99-prk-ap1.gazprom-neft.local,2,1,asm.asiainfo-sec.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-06-19,github.com,6,3,spb99-prk-ap1.gazprom-neft.local,2,1,asm.asiainfo-sec.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-06-19,github.com,5,2,spb99-prk-ap1.gazprom-neft.local,2,1,asm.asiainfo-sec.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-06-20,github.com,4,2,spb99-prk-ap1.gazprom-neft.local,2,1,asm.asiainfo-sec.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-06-21,github.com,4,2,spb99-prk-ap1.gazprom-neft.local,2,1,asm.asiainfo-sec.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-06-22,github.com,3,2,spb99-prk-ap1.gazprom-neft.local,2,1,asm.asiainfo-sec.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-06-23,github.com,2,1,spb99-prk-ap1.gazprom-neft.local,2,1,asm.asiainfo-sec.com,1,1,,,,,,,,,,,,,,,,,,,,,
2026-06-24,github.com,2,1,asm.asiainfo-sec.com,1,1,,,,,,,,,,,,,,,,,,,,,,,,
